Hidden Layers,Number of nodes,Solver,Alpha,Test Set RMSE,Train Set RMSE,Learning Rate,Early Stopping,Learning Rate Init,Activation Function
4,"4,3,20,0.0005",adam,0.0005,58.4598139485156,,,,,
4,"5,2,20,0.0005",adam,0.0005,58.4630679190138,,,,,
2,6-2,adam,0.001,58.464959188833,,,,,
2,6-3,adam,0.0017,58.4663380155051,47.5335194596081,invscaling,False,,
4,"6,10,20,0.002",sgd,0.002,58.4664512967151,,,,,
4,"5,10,20,0.004",adam,0.004,58.4664587396933,,,,,
3,7-3-1,lbfgs,0.0018,58.4710150842123,46.9468127743944,constant,True,0.0005,
3,5-3-1,adam,0.002,58.4718227551752,,,,,
2,6-3,adam,0.001,58.4725982583942,,,,,
4,"6,3,10,0.0005",adam,0.0005,58.4740198451999,,,,,
3,"5,3,0.004",adam,0.004,58.4743707180928,,,,,
3,6-3-2,sgd,0.002,58.4814239517154,,,,,
3,5-3-1,adam,0.0015,58.4823033744611,,,,,
2,6-4,lbfgs,0.0022,58.4858479026464,44.3415763205724,constant,True,,
3,6-2-1,lbfgs,0.002,58.4882490543393,46.3034316047883,invscaling,True,0.0005,
2,7-3,lbfgs,0.0015,58.4917425949157,45.9600970741569,constant,False,,
3,5-2-2,adam,0.002,58.4970451306852,50.0091915141444,constant,False,,
4,"5,3,20,0.002",adam,0.002,58.4970744577581,,,,,
3,7-2-1,adam,0.0017,58.5025221478348,47.7367099125734,invscaling,False,0.0005,
3,"5,3,0.004",adam,0.004,58.5045407435727,,,,,
2,6-4,adam,0.0018,58.5082075070051,48.647665829955,invscaling,False,0.002,
4,"3,3,10,0.004",sgd,0.004,58.5115146178041,,,,,
2,6-2,lbfgs,0.0015,58.5141514058748,45.8039279039802,invscaling,False,0.002,
2,6-3,adam,0.0018,58.5190518270093,48.9221809926939,constant,False,0.002,
3,6-1-2,lbfgs,0.002,58.520558098601,,,,,
3,6-2-2,adam,0.001,58.5269508759777,,,,,
4,"3,3,10,0.004",adam,0.004,58.5364342347353,,,,,
2,6-2,adam,0.0015,58.5454584753312,48.4342710674737,invscaling,False,0.0005,
2,7-2,lbfgs,0.002,58.5535969916386,45.490711408322,constant,False,0.001,
2,6-3,adam,0.0018,58.5558095785046,54.8503481832399,constant,True,0.0005,
2,7-3,adam,0.0015,58.5574907053061,47.8497357115485,invscaling,False,0.001,
4,"6,2,10,0.001",sgd,0.001,58.5587338833523,,,,,
3,6-2-2,adam,0.002,58.5597915436267,49.5745812103285,constant,False,,
4,"5,3,20,0.004",adam,0.004,58.5666028853237,,,,,
3,7-2-1,adam,0.0017,58.5688368761384,48.4565492579064,invscaling,False,0.001,
3,"5,1,0.0005",adam,0.0005,58.5707264628297,,,,,
2,7-4,adam,0.002,58.5726591516795,48.3150192474475,invscaling,False,0.001,
2,7-2,adam,0.0015,58.5819089854772,48.7755689270769,invscaling,False,0.0005,
2,6-2,adam,0.002,58.5820750876871,48.7471291998084,invscaling,False,0.002,
3,6-1-2,lbfgs,0.001,58.5882828540693,,,,,
3,6-2-1,adam,0.0018,58.5884690394659,47.3674144306733,constant,False,0.002,
4,"5,3,10,0.004",adam,0.004,58.5905493433128,,,,,
2,7-4,adam,0.0018,58.5962471004588,51.6690534963074,invscaling,True,0.001,
3,7-3-1,adam,0.0018,58.5973383716343,47.3740642968916,invscaling,False,0.0005,
4,"5,3,20,0.001",adam,0.001,58.6002316244449,,,,,
2,7-4,adam,0.0015,58.6019772131505,47.7602053800124,constant,False,0.001,
3,"3,10,0.0005",adam,0.0005,58.6049376572492,,,,,
3,5-1-2,adam,0.0015,58.6054920176193,,,,,
2,6-3,adam,0.0017,58.6074217993806,53.0045842093208,constant,True,0.0005,
3,6-4-1,adam,0.002,58.6097010558099,50.1188525228985,constant,False,0.001,
2,7-2,adam,0.0017,58.6107685416113,47.0001126682053,invscaling,False,0.0005,
4,"5,2,20,0.0005",adam,0.0005,58.6150577120782,,,,,
2,6-2,adam,0.0017,58.6173824495229,49.2410305475366,invscaling,False,0.002,
2,7-2,lbfgs,0.0018,58.617595488235,46.0279915944544,invscaling,False,0.0005,
2,7-2,adam,0.0015,58.6264502614098,48.3243425078434,invscaling,False,0.002,
3,"6,1,0.0005",adam,0.0005,58.6302114995402,,,,,
4,"3,3,10,0.002",sgd,0.002,58.635571166039,,,,,
3,5-2-1,lbfgs,0.0017,58.6396729624632,47.8851770136236,constant,False,,
2,6-4,adam,0.0015,58.6400624467234,52.3748561494524,constant,True,0.001,
2,6-2,adam,0.0018,58.6475503966315,53.2537406363044,invscaling,True,0.0005,
4,"5,2,10,0.004",sgd,0.004,58.6530432834903,,,,,
2,6-3,lbfgs,0.0015,58.6567022937425,46.1096653369134,constant,True,0.0005,relu
2,7-3,lbfgs,0.0015,58.6589754823882,47.5540480398063,invscaling,False,,
3,"6,2,0.001",adam,0.001,58.662414452543,,,,,
4,"6,3,10,0.002",adam,0.002,58.6642650248315,,,,,
3,7-2-1,adam,0.002,58.6717232122755,52.5176976002834,constant,True,0.0005,
3,6-1-2,adam,0.001,58.689532924937,,,,,
3,6-3-2,lbfgs,0.002,58.696565009028,45.2805152711127,constant,False,,
3,6-3-2,adam,0.0017,58.7047056151992,47.9805748966799,constant,False,,
3,"6,1,0.001",adam,0.001,58.7094568557481,,,,,
2,6-3,lbfgs,0.0017,58.7155050298054,46.7124746548866,invscaling,False,,
2,7-4,adam,0.002,58.7207317402119,51.6196134384445,constant,True,0.002,
3,5-2-2,adam,0.0015,58.7219846576922,,,,,
3,5-2-2,lbfgs,0.0015,58.7237245714684,46.9670572737285,constant,False,,
2,6-4,lbfgs,0.0015,58.7259580241377,47.1346522925471,invscaling,False,0.001,
2,7-4,lbfgs,0.0018,58.7315391446397,44.4262956241505,invscaling,False,0.002,
4,"4,2,10,0.004",adam,0.004,58.7328471169728,,,,,
3,5-3-2,adam,0.002,58.7332210334717,48.9909943000944,constant,False,,
3,6-3-2,adam,0.0022,58.7404763572945,47.6793403422811,adaptive,False,,
3,5-2-2,adam,0.001,58.7439329734177,,,,,
2,6-4,adam,0.0018,58.7454857924339,55.0078640497398,constant,True,0.001,
3,6-3-1,lbfgs,0.0015,58.748294768927,41.9480338745122,invscaling,False,0.002,relu
4,"4,2,20,0.001",adam,0.001,58.7487768052699,,,,,
3,6-3-1,adam,0.002,58.7511835235195,48.6303584610513,constant,False,,
4,"4,2,20,0.0005",adam,0.0005,58.7516549674917,,,,,
2,5-3,adam,0.0015,58.7624548900802,,,,,
2,6-3,lbfgs,0.002,58.777159593199,46.2758158629924,constant,False,0.001,tanh
3,5-3-1,sgd,0.002,58.7801127743603,,,,,
2,6-4,adam,0.0017,58.7828888866124,52.9694348876423,invscaling,True,0.002,
4,"4,10,20,0.004",adam,0.004,58.7847044871886,,,,,
2,6-3,lbfgs,0.002,58.7889588696741,46.7327095442589,constant,True,0.001,relu
3,"5,3,0.0005",adam,0.0005,58.7912729121568,,,,,
3,6-1-2,lbfgs,0.0015,58.791347282584,,,,,
4,"5,10,20,0.004",sgd,0.004,58.7934025297861,,,,,
3,"5,2,0.002",adam,0.002,58.7934156886396,,,,,
3,6-3-2,adam,0.0015,58.7962359515852,48.1254594832859,invscaling,False,,
3,"4,1,0.004",adam,0.004,58.8050210750642,,,,,
2,6-4,adam,0.0018,58.8085395038871,48.891657313201,constant,False,0.001,
2,7-2,adam,0.002,58.8124029031752,47.1732740590438,invscaling,False,0.0005,
3,5-3-2,adam,0.001,58.8183447869513,,,,,
2,6-4,lbfgs,0.002,58.821475524716,46.5696963470444,constant,False,0.002,
4,"4,3,10,0.001",adam,0.001,58.8231847940621,,,,,
2,6-3,lbfgs,0.0015,58.8254087867143,46.0715649894131,invscaling,False,,
2,6-3,lbfgs,0.0015,58.835186909301,46.4490555912964,constant,False,0.001,tanh
2,6-2,lbfgs,0.0018,58.8361551032028,47.3991222607339,invscaling,True,0.001,
3,5-1-1,adam,0.002,58.8408031827533,,,,,
2,6-4,lbfgs,0.0015,58.854357372433,45.0689604157969,invscaling,True,0.001,
2,6-2,lbfgs,0.0018,58.8557673965384,46.7418663431711,invscaling,False,0.0005,
2,6-2,adam,0.0018,58.8560756908139,48.997218585683,invscaling,False,0.001,
2,6-3,adam,0.0017,58.8612634108877,52.7149848259043,constant,True,0.001,
3,6-2-2,lbfgs,0.0015,58.8682716127634,46.1588063050255,constant,False,,
2,7-3,adam,0.0017,58.8687793550097,45.907171218722,constant,False,0.0005,
3,"4,3,1",adam,1,58.8741091620332,,,,,
3,7-3-1,adam,0.002,58.8764902399509,47.9695135596961,invscaling,False,0.0005,
3,"5,1,0.004",adam,0.004,58.8799655865838,,,,,
4,"4,3,20,0.002",adam,0.002,58.8827443824605,,,,,
4,"5,2,20,0.001",adam,0.001,58.8866599368861,,,,,
3,7-2-1,lbfgs,0.0017,58.8907952152931,46.5020304230993,constant,True,0.001,
3,6-2-1,lbfgs,0.0015,58.8978355200154,47.9010263020915,constant,False,,
3,6-2-1,adam,0.002,58.9007153115111,,,,,
4,"6,3,20,0.002",adam,0.002,58.9123104021091,,,,,
2,6-3,lbfgs,0.0022,58.9172177923586,46.9794487385593,invscaling,False,,
4,"6,10,10,0.002",adam,0.002,58.9186682433881,,,,,
2,6-2,lbfgs,0.0015,58.9218233380841,46.8931862072494,invscaling,True,0.0005,
3,6-3-2,adam,0.0017,58.9225089016181,48.3231611380599,constant,False,,
2,6-3,lbfgs,0.0015,58.9242898903705,46.1935613630904,adaptive,False,,
2,7-3,adam,0.0017,58.9386702078193,52.9291505377097,constant,True,0.002,
3,5-2-2,lbfgs,0.002,58.938865385221,46.783427970636,constant,False,,
3,6-1-1,lbfgs,0.001,58.9398288247126,,,,,
2,6-3,lbfgs,0.0015,58.9417896154095,46.7133439993245,constant,False,0.0005,
2,7-2,adam,0.0017,58.9547619355526,52.1012655010465,constant,True,0.001,
2,6-3,lbfgs,0.0018,58.955994971407,46.7723572831878,constant,True,0.0005,tanh
3,"5,2,0.002",adam,0.002,58.9635996287445,,,,,
3,6-3-2,lbfgs,0.002,58.9641183828851,,,,,
2,7-3,adam,0.0017,58.9674737652272,47.7040216317529,invscaling,False,0.002,
2,6-3,lbfgs,0.0017,58.9687833243412,46.9419167866465,adaptive,False,,
2,6-4,adam,0.0015,58.9729674119865,48.9589489152559,invscaling,False,0.0005,
2,6-3,lbfgs,0.0018,58.9732509570819,47.334045520226,constant,False,0.001,tanh
3,6-2-1,lbfgs,0.002,58.9742746047213,45.5970859967262,constant,False,0.002,
2,6-3,adam,0.0017,58.9744674238177,47.2329962663943,constant,False,0.0005,
3,6-3-1,lbfgs,0.0018,58.9755458056638,45.7798450123603,constant,True,0.001,relu
2,7-3,adam,0.0017,58.9831554011549,47.3408903113968,constant,False,0.001,
3,6-2-2,adam,0.001,58.9846161200486,,,,,
3,6-3-2,lbfgs,0.002,58.9856216950975,49.5318396379874,constant,True,,
3,6-1-1,adam,0.001,58.9927456329564,,,,,
3,"5,2,0.004",adam,0.004,58.9945978494304,,,,,
3,6-2-2,adam,0.002,58.9946340593327,,,,,
2,6-3,adam,0.002,58.9977813631369,48.5069911313087,adaptive,False,,
2,6-3,adam,0.002,59.0028704409885,48.2546962037627,invscaling,False,0.001,
2,6-3,lbfgs,0.002,59.0036314041531,47.7041443771675,invscaling,False,0.001,tanh
2,6-3,adam,0.0015,59.005032416549,47.9359839055371,constant,False,0.002,
3,6-1-2,sgd,0.001,59.0076477026688,,,,,
3,7-2-1,adam,0.0015,59.0078525698844,47.8640708466175,constant,False,0.001,
2,6-2,adam,0.002,59.0093025525939,52.5966561082196,constant,True,0.001,
3,6-3-1,lbfgs,0.002,59.0195040718694,,,,,
3,"5,2,0.001",adam,0.001,59.0215935793527,,,,,
3,5-1-2,lbfgs,0.0015,59.0294394159256,,,,,
2,7-4,lbfgs,0.0017,59.0316614286766,44.0752573631395,invscaling,True,0.002,
3,"5,1,0.002",adam,0.002,59.0341400952075,,,,,
2,6-2,adam,0.0015,59.036375463132,50.1475495737127,invscaling,False,0.001,
2,7-2,adam,0.0018,59.0370585625461,52.6626119359478,constant,True,0.001,
3,7-3-1,adam,0.0017,59.0396887833368,48.5661090932501,invscaling,False,0.001,
2,7-3,adam,0.0015,59.0397619004892,48.517307245605,constant,False,0.0005,
4,"6,3,20,0.0005",adam,0.0005,59.0501216914368,,,,,
4,"6,2,10,0.001",adam,0.001,59.0597377085717,,,,,
3,7-4-1,lbfgs,0.0017,59.0650941062772,46.0331819532304,invscaling,False,0.002,
2,7-4,adam,0.0018,59.0654414416623,54.7222562081732,invscaling,True,0.0005,
3,5-3-1,adam,0.002,59.0674504322558,,,,,
2,6-3,lbfgs,0.002,59.0674799871333,45.29132361708,constant,True,0.001,
3,6-3-1,lbfgs,0.0015,59.0719675498467,46.3884924014246,constant,True,0.0005,relu
2,7-2,lbfgs,0.0017,59.0794188067768,45.9946203685251,invscaling,False,0.001,
3,7-4-1,adam,0.002,59.0831200395135,55.7180454736102,constant,True,0.0005,
3,6-3-2,adam,0.0015,59.0928958138457,48.6471725692465,adaptive,False,,
3,5-2-2,sgd,0.001,59.0953495365608,,,,,
3,6-4-1,lbfgs,0.0017,59.0983284221508,43.718435500644,invscaling,False,0.001,
3,7-2-1,adam,0.0017,59.1100765232843,54.1306387068539,constant,True,0.0005,
3,5-3-2,lbfgs,0.001,59.1141591677629,,,,,
2,7-3,adam,0.0017,59.1143375161147,46.0563949296912,constant,False,0.002,
2,5-3,lbfgs,0.002,59.1144051905585,,,,,
2,7-4,lbfgs,0.002,59.1159656230422,46.7136929903924,constant,False,,
2,6-3,adam,0.0017,59.1176585873401,48.3317809434565,invscaling,False,0.002,
2,6-3,adam,0.0018,59.1211858238486,53.5431512033517,constant,True,0.002,
2,6-2,adam,0.002,59.1217381029464,,,,,
3,6-3-2,adam,0.001,59.1266695590599,49.1135877391149,constant,False,,
3,6-3-1,lbfgs,0.0015,59.1298711089254,45.1090390827613,invscaling,True,0.0005,
2,6-3,adam,0.0017,59.1325650899801,47.7146843488073,invscaling,False,,
2,6-3,adam,0.0018,59.1348644693845,49.7589020833119,invscaling,False,0.0005,
2,6-4,lbfgs,0.0017,59.1355129528905,46.7234640128254,invscaling,True,0.0005,
2,6-2,adam,0.002,59.1364363775282,,,,,
2,7-2,adam,0.002,59.1366395228703,51.890192481371,invscaling,True,0.002,
2,7-4,adam,0.0015,59.1417862551581,55.6568272465564,invscaling,True,0.001,
2,6-3,adam,0.002,59.1456690381533,,,,,
2,6-3,lbfgs,0.0017,59.1488487036616,45.9682501995863,invscaling,False,,
3,6-3-2,adam,0.0015,59.1524901885354,53.5687165448831,adaptive,True,,
3,"5,3,0.001",adam,0.001,59.1535757314928,,,,,
2,6-2,lbfgs,0.0018,59.1543160114579,45.1786114237673,invscaling,False,0.001,
2,7-3,lbfgs,0.002,59.1559470208954,44.8779750360612,invscaling,True,,
2,6-4,adam,0.002,59.1561526757789,54.2164744436006,invscaling,True,0.001,
2,6-4,lbfgs,0.002,59.1580377577777,46.5465574301713,invscaling,True,,
2,6-4,lbfgs,0.0015,59.164499049918,47.487592703288,constant,True,0.002,
3,5-3-2,adam,0.0017,59.1657671700476,49.0170074651703,constant,False,,
3,7-4-1,adam,0.002,59.1665292441753,47.7897558102171,invscaling,False,0.0005,
2,7-3,adam,0.0015,59.1675245731978,57.6615817012129,invscaling,True,0.002,
2,6-3,lbfgs,0.0017,59.1693783889109,47.5763304802619,invscaling,False,0.002,relu
3,7-2-1,adam,0.0018,59.1792575286784,47.7715704237925,invscaling,False,0.002,
2,6-3,lbfgs,0.0017,59.1833061355723,46.3098213941881,constant,True,0.001,
2,6-3,lbfgs,0.001,59.1838180485992,45.4570327664319,constant,False,,
3,6-3-2,adam,0.0015,59.1838524134104,48.2055202841417,constant,False,,
3,5-3-2,sgd,0.0015,59.1878224745559,,,,,
4,"5,10,20,0.002",adam,0.002,59.1912722784664,,,,,
3,6-3-2,adam,0.0017,59.1920327554004,52.9594282022529,adaptive,True,,
2,7-4,adam,0.0015,59.1949702399559,46.3776394454859,constant,False,0.0005,
3,6-3-2,adam,0.0015,59.1954637795304,,,,,
2,6-3,adam,0.002,59.2006049231627,54.2236719574507,constant,True,0.001,
4,"4,10,20,0.004",adam,0.004,59.2022984512055,,,,,
3,"6,1,0.004",adam,0.004,59.2039888935962,,,,,
4,"3,10,10,0.0005",sgd,0.0005,59.2062005734678,,,,,
2,6-2,adam,0.002,59.2067552260105,52.4873904670042,invscaling,True,0.002,
2,7-2,adam,0.0018,59.2071894167485,47.8272279789761,invscaling,False,0.001,
2,6-2,lbfgs,0.002,59.2075719437773,47.3320223649715,invscaling,True,0.001,
3,6-3-2,lbfgs,0.0015,59.2138135049737,46.5901200175176,invscaling,True,,
2,7-4,adam,0.002,59.2140971399224,46.896088773584,constant,False,0.002,
3,"6,2,0.0005",adam,0.0005,59.2191758356671,,,,,
2,7-3,adam,0.002,59.2246136423495,52.2191286822783,constant,True,0.001,
3,6-3-2,adam,0.0015,59.2252563411656,,,,,
2,7-3,adam,0.0018,59.2256842445029,47.7203632861657,constant,False,0.0005,
3,6-2-2,adam,0.001,59.2310238182644,,,,,
3,6-3-1,lbfgs,0.0017,59.2339884027866,44.1105732627961,constant,True,0.0005,
4,"5,10,20,0.0005",adam,0.0005,59.2346568774711,,,,,
4,"4,10,10,0.0005",sgd,0.0005,59.2409363029848,,,,,
2,6-3,lbfgs,0.0017,59.2436400346198,46.8521422337344,invscaling,False,0.0005,tanh
2,6-3,lbfgs,0.0017,59.247493845711,46.222594434725,invscaling,True,0.002,tanh
4,"5,3,10,0.002",sgd,0.002,59.2488580874914,,,,,
3,"5,3,0.002",adam,0.002,59.26305654661,,,,,
3,"5,3,0.0005",adam,0.0005,59.272565631962,,,,,
2,7-4,lbfgs,0.0015,59.2737748523323,41.968537002638,invscaling,False,0.001,
3,6-1-1,adam,0.002,59.2857705088791,,,,,
3,"6,2,0.001",adam,0.001,59.2865627151215,,,,,
2,7-4,lbfgs,0.0018,59.2960782012941,44.6126215291048,invscaling,True,,
3,6-2-2,adam,0.001,59.296518782365,,,,,
3,5-3-2,adam,0.001,59.2971454727408,48.4050855343323,constant,False,,
2,7-3,lbfgs,0.0018,59.3026765963545,45.2296043985251,constant,True,0.001,
3,5-1-1,adam,0.001,59.3045103108,,,,,
2,6-3,lbfgs,0.0022,59.3067253225862,46.1222022205013,constant,True,,
3,5-3-2,adam,0.001,59.3085714901167,,,,,
3,6-3-2,lbfgs,0.0017,59.3105230562099,45.3242834580457,constant,False,,
3,5-2-1,adam,0.001,59.3119433727066,,,,,
3,6-2-1,adam,0.0015,59.3154436526384,56.4312705359213,constant,True,0.001,
2,7-4,lbfgs,0.0018,59.3162448502903,46.6799319284396,invscaling,False,0.0005,
3,6-3-1,adam,0.0017,59.3177277997951,48.8628479658406,invscaling,False,0.001,
3,"5,1,0.004",adam,0.004,59.3210560840451,,,,,
2,7-4,adam,0.0015,59.3234298220577,47.5542513553972,invscaling,False,0.0005,
2,7-3,lbfgs,0.002,59.3242050054018,46.7657883442321,constant,False,0.0005,
2,7-4,adam,0.0015,59.3278333083736,55.9396162775119,constant,True,0.001,
2,7-4,adam,0.002,59.3355662657765,47.9216202515905,invscaling,False,0.002,
2,6-2,adam,0.0018,59.3357957854083,48.2320868273352,constant,False,0.002,
2,6-2,lbfgs,0.0015,59.3456585172979,47.075237450608,constant,False,,
2,6-3,lbfgs,0.0018,59.3480469276375,48.6521006720462,constant,True,0.0005,
2,6-3,adam,0.0017,59.3504299142959,47.7600744078953,constant,False,0.002,
4,"6,10,10,0.004",sgd,0.004,59.3537840191766,,,,,
2,7-4,adam,0.0018,59.3547827684951,53.6635564066926,constant,True,0.001,
3,5-3-2,lbfgs,0.0015,59.3561361407665,,,,,
2,6-3,adam,0.002,59.3598780773526,49.1594901321819,constant,False,0.002,
2,7-2,adam,0.0015,59.3623718638784,50.6541188671547,invscaling,True,0.002,
3,"5,2,0.001",adam,0.001,59.3693970909537,,,,,
2,6-3,adam,0.0015,59.3808626358871,53.2665409557218,adaptive,True,,
2,5-2,adam,0.0015,59.3845608754501,49.0141255513096,constant,False,,
2,6-3,lbfgs,0.002,59.3865317448145,46.8630569347359,constant,False,0.001,relu
2,6-3,adam,0.0017,59.3875202815156,48.7214736418284,invscaling,False,0.001,
3,7-4-1,adam,0.002,59.3963700592223,47.9010063009058,constant,False,0.002,
3,7-4-1,adam,0.0015,59.4051529860689,53.3353240273418,invscaling,True,0.002,
2,7-3,adam,0.0017,59.407458107539,47.745651825649,invscaling,False,0.001,
2,6-4,lbfgs,0.0017,59.4355486289116,47.9179382948054,constant,False,0.001,
2,7-4,lbfgs,0.0017,59.443841331431,46.7264882889782,constant,True,0.0005,
3,"5,2,0.004",adam,0.004,59.4490035936118,,,,,
2,6-4,adam,0.0017,59.4566577959753,49.7246747087991,invscaling,False,0.001,
4,"6,10,10,0.002",sgd,0.002,59.4571950054035,,,,,
4,"4,2,10,0.0005",adam,0.0005,59.4650376821737,,,,,
3,5-3-2,lbfgs,0.002,59.4691974834692,,,,,
4,"6,10,20,0.004",adam,0.004,59.4705595371487,,,,,
2,6-2,adam,0.0015,59.4718427772531,47.6996163984912,invscaling,False,0.002,
3,7-4-1,adam,0.0018,59.4750548193645,53.2901709831582,constant,True,0.0005,
4,"4,10,20,0.001",adam,0.001,59.4773902281721,,,,,
2,7-4,lbfgs,0.002,59.5055114970772,43.8869049396685,invscaling,False,0.002,
2,7-4,lbfgs,0.0015,59.5135789876269,40.9655659295686,invscaling,True,0.002,
2,7-2,adam,0.0017,59.5203085813404,49.7289300868359,constant,False,0.002,
3,5-3-2,lbfgs,0.002,59.5270318021813,,,,,
2,7-4,adam,0.0015,59.5439440973013,52.4656421996563,invscaling,True,0.002,
4,"6,10,10,0.0005",adam,0.0005,59.548831437949,,,,,
3,6-2-2,adam,0.002,59.5526052463432,,,,,
2,6-2,lbfgs,0.002,59.553334235688,46.4721577294941,invscaling,False,0.002,
3,"4,3,0.0005",adam,0.0005,59.5537120636939,,,,,
3,5-2-2,adam,0.001,59.5624019833476,,,,,
3,7-4-1,adam,0.002,59.5634048433984,53.552837589692,invscaling,True,0.001,
3,5-2-1,adam,0.001,59.5637984454326,47.8632070049186,constant,False,,
2,7-4,adam,0.0018,59.5640847944299,47.6350144914296,invscaling,False,0.002,
3,5-3-2,lbfgs,0.0015,59.5711115750018,,,,,
3,6-3-1,lbfgs,0.002,59.5718660609041,46.2467390809361,constant,False,0.001,
3,5-2-1,lbfgs,0.0015,59.5721917378216,45.2919514659271,constant,False,,
2,6-2,adam,0.0018,59.5746084803126,55.3390171417659,constant,True,0.0005,
3,5-2-2,adam,0.0015,59.5796774509216,,,,,
3,"6,3,0.002",adam,0.002,59.5984704491061,,,,,
2,6-3,lbfgs,0.0015,59.6024729308665,46.3853600604805,invscaling,True,0.001,
2,7-4,adam,0.002,59.6043951030477,46.5557070569933,invscaling,False,0.0005,
3,"6,2,0.004",adam,0.004,59.6170771919273,,,,,
2,7-3,adam,0.0018,59.6175222399127,48.3649660938293,constant,False,0.001,
2,6-4,adam,0.0018,59.6282927013828,49.3415366676004,invscaling,False,0.001,
3,"5,3,4",adam,0.0001,59.63,,,,,
3,6-3-2,lbfgs,0.0017,59.640549845166,48.1710569953011,invscaling,False,,
2,6-3,lbfgs,0.0015,59.643682197843,46.3431337302131,invscaling,False,0.001,
3,6-3-2,adam,0.0017,59.6455885755662,54.1791905212892,invscaling,True,,
3,5-1-1,lbfgs,0.001,59.6464691901346,,,,,
4,"6,10,20,0.001",sgd,0.001,59.6475562968315,,,,,
3,5-2-2,lbfgs,0.001,59.6534853077706,44.7096136612391,constant,False,,
3,6-3-1,lbfgs,0.0018,59.6543539841137,45.6149287662406,invscaling,False,0.001,tanh
2,7-2,adam,0.0015,59.6557891203652,48.5582345994719,constant,False,0.001,
4,"6,3,10,0.0005",adam,0.0005,59.657893751881,,,,,
4,"6,10,20,0.002",adam,0.002,59.6583468824664,,,,,
2,5-1,adam,0.0015,59.6584813491291,,,,,
3,"4,2,0.002",adam,0.002,59.6586270461106,,,,,
4,"4,10,10,0.001",sgd,0.001,59.6592523660725,,,,,
4,"5,10,10,0.004",sgd,0.004,59.6615724070031,,,,,
3,6-3-2,adam,0.0022,59.6623556284679,53.5581521105878,adaptive,True,,
3,7-4-1,adam,0.0015,59.6631989446371,52.246240276523,invscaling,True,0.001,
3,5-3-2,lbfgs,0.002,59.6641888179049,,,,,
2,7-3,adam,0.0015,59.6648672533337,53.1969476281903,invscaling,True,0.001,
3,6-3-1,adam,0.002,59.6703814398814,47.8172148550053,invscaling,False,0.002,
2,6-2,adam,0.002,59.6718408044132,48.4915492427259,constant,False,0.001,
2,6-3,lbfgs,0.0017,59.6727814890053,46.8483335589572,constant,True,0.0005,
2,6-2,lbfgs,0.0015,59.6772841453813,47.0867190379514,constant,True,,
3,5-2-1,adam,0.002,59.6783996102171,,,,,
3,6-2-2,lbfgs,0.002,59.6832630292495,,,,,
2,7-4,lbfgs,0.002,59.6837964922831,44.3147104389673,invscaling,True,,
2,6-2,lbfgs,0.0015,59.6914033241302,46.8244395459746,constant,False,,
2,7-2,adam,0.0017,59.698755119676,52.6284833527478,invscaling,True,0.0005,
2,6-2,lbfgs,0.0018,59.7007471815827,47.0680096001414,invscaling,False,0.002,
4,"6,10,20,0.001",adam,0.001,59.7076366970479,,,,,
3,"6,3,0.001",adam,0.001,59.7171643900662,,,,,
3,5-1-1,adam,0.0015,59.7174313294106,,,,,
3,6-3-2,adam,0.0015,59.7287186681892,48.5939563902869,constant,False,,
2,6-2,lbfgs,0.002,59.7290287223272,46.391515936492,constant,True,0.001,
3,5-3-2,adam,0.0017,59.734759065785,48.5292737803947,constant,False,,
4,"4,3,20,0.001",sgd,0.001,59.7442314135961,,,,,
3,6-3-2,adam,0.0022,59.7449108740562,48.6075063517827,constant,False,,
2,6-3,lbfgs,0.0017,59.7524946876453,47.3297775230757,invscaling,True,,
3,6-3-1,adam,0.0017,59.7525946800752,47.8411855304096,constant,False,,
2,6-3,lbfgs,0.0015,59.7535953077236,46.525050997422,invscaling,False,0.0005,
2,7-3,lbfgs,0.0018,59.7540541457107,45.1425435364529,invscaling,False,0.002,
2,6-4,lbfgs,0.0018,59.7601749569473,44.5423810510547,constant,False,0.002,
2,5-3,adam,0.001,59.7627637272976,49.477554610502,constant,False,,
2,6-3,lbfgs,0.0015,59.7677800247504,46.6472934654693,constant,False,,
2,7-4,lbfgs,0.002,59.7709321287954,47.0130424195184,invscaling,False,,
3,6-4-1,lbfgs,0.0018,59.7721099630738,44.066396200148,constant,False,0.0005,
4,"5,2,20,0.004",sgd,0.004,59.775026817065,,,,,
2,6-4,adam,0.0017,59.7762856655751,52.1041451729121,constant,True,0.002,
2,6-4,lbfgs,0.0015,59.7783749534951,44.1583561950485,constant,False,,
2,6-4,adam,0.0015,59.7797749171362,48.043862653419,invscaling,False,0.002,
4,"3,3,10,0.001",adam,0.001,59.7809270629743,,,,,
3,6-2-1,lbfgs,0.0015,59.7871111703671,45.8338360107284,invscaling,True,0.002,
2,6-2,lbfgs,0.0015,59.7909145885226,46.7842402200843,invscaling,False,0.0005,
2,7-4,lbfgs,0.0018,59.7909716180557,46.8623796128299,invscaling,True,,
2,6-2,adam,0.0015,59.7972020172182,48.7997709325972,constant,False,,
3,6-3-1,lbfgs,0.0017,59.7974209419857,43.9655181215707,invscaling,False,0.002,relu
4,"3,3,20,0.004",adam,0.004,59.818013161659,,,,,
2,7-3,adam,0.0018,59.8187560778567,47.8275360016175,invscaling,False,0.002,
2,6-3,adam,0.0017,59.8221024512904,48.697483899513,adaptive,False,,
