Hidden Layers,Number of nodes,Solver,Alpha,Test Set RMSE,Train Set RMSE,Learning Rate,Early Stopping,Learning Rate Init,Activation Function
3,6-2-1,lbfgs,0.002,55.4986960036447,49.7599252302297,constant,False,,
2,5-2,adam,0.002,55.5149372737279,49.1742082611698,constant,False,,
2,5-2,adam,0.0017,55.5164686997352,48.9220920145167,constant,False,,
3,5-3-1,adam,0.0015,55.5450587651147,,,,,
4,"6,2,20,0.002",adam,0.002,55.5512807451955,,,,,
3,"5,2,1",adam,1,55.5557179700588,,,,,
4,"4,10,10,0.0005",adam,0.0005,55.5590214834753,,,,,
3,"6,3,0.004",adam,0.004,55.5602299932992,,,,,
4,"6,10,20,0.002",adam,0.002,55.5805565839148,,,,,
3,6-3-2,lbfgs,0.0015,55.5818214424322,,,,,
3,6-3-2,lbfgs,0.002,55.6224803163988,,,,,
2,5-2,lbfgs,0.0015,55.6254184830338,45.7587402813758,constant,False,,
3,"4,3,2",adam,0.01,55.63,,,,,
2,7-2,adam,0.0017,55.6335530362098,53.5727290985583,invscaling,True,0.002,
3,"3,2,0.0005",adam,0.0005,55.6367064528763,,,,,
3,"6,1,0.002",adam,0.002,55.6431485015964,,,,,
3,"3,1,0.001",adam,0.001,55.6451408316009,,,,,
3,7-2-1,adam,0.002,55.6461797154899,49.7598824168104,invscaling,False,0.001,
4,"4,3,10,0.0005",adam,0.0005,55.6510519974667,,,,,
3,5-2-2,adam,0.002,55.6549748525168,,,,,
3,"6,2,0.001",adam,0.001,55.6729134868032,,,,,
3,5-2-1,adam,0.0015,55.6740493043308,,,,,
2,6-4,adam,0.0017,55.6848484849985,52.2715465089412,constant,True,0.001,
2,6-1,adam,0.002,55.695163682225,,,,,
3,"4,2,0.001",adam,0.001,55.6995815284238,,,,,
2,5-2,adam,0.001,55.7001066381785,49.044500219355,constant,False,,
3,6-3-1,adam,0.0015,55.7032186563947,49.6778750955397,constant,False,0.0005,
3,6-4-1,adam,0.0017,55.7064140230872,51.7878958685854,constant,True,0.001,
3,"5,1,0.001",adam,0.001,55.7084181662078,,,,,
3,6-4-1,adam,0.0018,55.7319987301409,49.0019667722424,invscaling,False,0.001,
3,"5,2,0.001",adam,0.001,55.7322086632395,,,,,
4,"5,3,20,0.002",adam,0.002,55.7334351470756,,,,,
3,"4,3,0.001",adam,0.001,55.7404210839396,,,,,
3,7-3-1,adam,0.0015,55.7418497374242,48.560772986167,invscaling,False,0.002,
3,6-3-2,adam,0.0015,55.7458933795301,49.6294511318909,invscaling,False,,
3,"4,3,0.004",adam,0.004,55.748386214915,,,,,
3,6-1-1,lbfgs,0.001,55.7817000911904,,,,,
4,"4,3,10,0.004",adam,0.004,55.7830054340279,,,,,
3,5-3-1,lbfgs,0.0015,55.7885918123024,,,,,
3,"5,2,0.0005",adam,0.0005,55.7980812251854,,,,,
2,5-3,adam,0.0017,55.8187636171893,49.0419835184764,constant,False,,
3,"6,1,0.002",adam,0.002,55.8390332078576,,,,,
3,6-1-2,adam,0.002,55.8423382658732,,,,,
3,"5,2,0.0005",adam,0.0005,55.8456182477408,,,,,
2,7-4,adam,0.0017,55.8474304208391,51.9377701095314,constant,True,0.002,
3,6-4-1,adam,0.0015,55.8488089399009,53.6391529695246,invscaling,True,0.002,
3,"6,1,0.004",adam,0.004,55.8489220659071,,,,,
3,6-2-1,adam,0.0015,55.8498634757802,54.5623109311243,invscaling,True,0.001,
3,"4,3,0.0005",adam,0.0005,55.8532660904903,,,,,
3,"4,3,0.004",adam,0.004,55.8594375976246,,,,,
3,"5,3,0.004",adam,0.004,55.8648594509047,,,,,
3,6-2-2,lbfgs,0.001,55.8654365132682,,,,,
2,6-3,adam,0.0015,55.8687118007935,47.426770717468,constant,False,,
2,7-2,adam,0.002,55.8724124046558,54.272493065736,constant,True,0.0005,
4,"4,3,10,0.0005",adam,0.0005,55.8787914955112,,,,,
3,"3,3,0.0005",adam,0.0005,55.8807857259861,,,,,
4,"3,10,20,0.004",sgd,0.004,55.8828985899149,,,,,
2,5-1,adam,0.0015,55.883203714388,,,,,
4,"4,2,20,0.002",adam,0.002,55.8898451620507,,,,,
3,6-3-2,adam,0.0017,55.9053860297403,49.9569917311694,constant,False,,
3,6-3-2,adam,0.002,55.9111987892143,,,,,
3,5-1-1,adam,0.0015,55.9174518361581,,,,,
3,"4,1,0.001",adam,0.001,55.9365043835675,,,,,
3,6-3-1,lbfgs,0.002,55.9390168673439,51.9646360451611,constant,True,0.002,
4,"3,10,20,0.0005",adam,0.0005,55.941391680189,,,,,
3,5-1-2,lbfgs,0.001,55.945351018123,,,,,
4,"3,2,10,0.002",adam,0.002,55.9534303083625,,,,,
3,5-2-1,adam,0.0015,55.9590702573361,49.1307344611569,constant,False,,
2,6-3,adam,0.0015,55.9622979436467,48.6375477290314,adaptive,False,,
3,6-2-1,lbfgs,0.0015,55.9636653338056,,,,,
4,"3,3,20,0.004",adam,0.004,55.9649292914188,,,,,
3,"5,1,0.0005",adam,0.0005,55.9706837808227,,,,,
3,"6,2,0.002",adam,0.002,55.9764196087559,,,,,
2,6-1,adam,0.0015,55.9772524838189,,,,,
3,5-3-1,adam,0.001,55.9782211520946,,,,,
2,6-1,adam,0.002,55.9782790481858,,,,,
2,6-3,adam,0.0018,55.9798509123264,53.5579387537423,invscaling,True,0.0005,
2,6-3,lbfgs,0.0015,55.9839966714837,47.1703008156255,constant,False,,
3,"4,2,0.001",adam,0.001,55.9914506958868,,,,,
4,"4,3,10,0.002",adam,0.002,55.9976593410534,,,,,
3,"4,3,0.001",adam,0.001,56.0004858875859,,,,,
2,6-4,adam,0.0015,56.0113341877173,53.1421989053827,constant,True,0.002,
3,6-2-2,adam,0.0015,56.0382663011052,,,,,
2,"5,3",adam,0.001,56.05,,,,,
4,"4,3,20,0.001",adam,0.001,56.053481110033,,,,,
4,"3,3,10,0.002",adam,0.002,56.0544185177173,,,,,
3,7-3-1,adam,0.002,56.060372149751,46.8126184986016,invscaling,False,0.001,
3,5-3-1,adam,0.0017,56.0624296426613,49.04445270326,constant,False,,
2,6-3,lbfgs,0.002,56.0703839890688,44.7436933554777,invscaling,True,0.002,
3,"3,10,0.004",adam,0.004,56.081806563672,,,,,
3,"4,1,0.0005",adam,0.0005,56.0828767726491,,,,,
3,"5,1,0.002",adam,0.002,56.0873437008675,,,,,
4,"3,2,10,0.0005",sgd,0.0005,56.1083089918217,,,,,
4,"4,2,20,0.0005",adam,0.0005,56.113711797275,,,,,
3,"4,2,0.002",adam,0.002,56.1271522456162,,,,,
3,"5,2,0.002",adam,0.002,56.131323401419,,,,,
3,"6,1,0.004",adam,0.004,56.1330084623102,,,,,
3,5-2-1,adam,0.001,56.1387982498213,,,,,
2,6-4,adam,0.002,56.1397436987002,52.0878619117621,invscaling,True,0.002,
2,6-4,adam,0.0015,56.1404145756265,52.1070504470622,invscaling,True,0.002,
3,"4,1,0.001",adam,0.001,56.1462431723773,,,,,
3,6-1-2,adam,0.002,56.1513101869884,,,,,
3,"4,2,0.0005",adam,0.0005,56.1559342749452,,,,,
3,6-3-1,adam,0.002,56.1573891041917,51.1133222496224,constant,False,,
3,5-2-1,adam,0.0017,56.1691086917772,49.2080374719482,constant,False,,
2,6-2,adam,0.0018,56.1704383891512,50.3545315788644,invscaling,False,0.0005,
3,7-4-1,adam,0.0017,56.1735272017605,49.3485168297895,invscaling,False,0.002,
3,"6,3,0.002",adam,0.002,56.1762462345992,,,,,
4,"5,2,10,0.0005",sgd,0.0005,56.1771840766909,,,,,
3,5-2-2,adam,0.002,56.1772141045933,,,,,
3,6-3-1,adam,0.0017,56.1882839006885,52.9080321720811,invscaling,True,0.002,
4,"4,2,10,0.004",sgd,0.004,56.193900172277,,,,,
2,7-3,lbfgs,0.0018,56.1988430109798,48.3185010316579,invscaling,True,,
2,5-2,adam,0.001,56.1990180370238,,,,,
2,6-4,adam,0.0018,56.1999802047181,52.256805305346,constant,True,0.002,
3,7-4-1,adam,0.002,56.2045887981143,53.1955529310097,constant,True,0.002,
3,"6,1,0.004",adam,0.004,56.2070748757609,,,,,
3,5-1-2,adam,0.001,56.226216565549,,,,,
4,"3,2,20,0.001",sgd,0.001,56.2453351755081,,,,,
4,"5,3,20,0.004",sgd,0.004,56.253759437412,,,,,
3,6-2-1,sgd,0.001,56.2579344248853,,,,,
4,"3,3,20,0.001",adam,0.001,56.257952191315,,,,,
3,"4,3,0.0005",adam,0.0005,56.2637546067778,,,,,
3,"3,1,0.004",adam,0.004,56.2639117931713,,,,,
3,"4,3,0.004",adam,0.004,56.2687362496447,,,,,
2,7-4,lbfgs,0.0015,56.2776088103924,43.2109282578224,invscaling,True,0.001,
3,6-3-1,adam,0.0015,56.2782456071215,47.7738604633801,invscaling,False,0.0005,
3,6-2-1,adam,0.0015,56.27827095505,,,,,
3,"5,3,0.001",adam,0.001,56.2863704187806,,,,,
3,7-2-1,adam,0.0018,56.2885808739072,50.5381897672992,constant,False,0.001,
3,6-3-2,adam,0.0015,56.2888034478643,53.0016445450023,constant,False,,
4,"5,3,20,0.004",adam,0.004,56.2890615604241,,,,,
3,5-2-2,adam,0.002,56.3049049182438,,,,,
3,5-2-1,sgd,0.0015,56.3087054041492,,,,,
2,5-3,adam,0.002,56.3144694544828,,,,,
3,"4,2,0.0005",adam,0.0005,56.3163687037047,,,,,
3,6-3-1,adam,0.0015,56.3174270643603,,,,,
3,"3,2,0.001",adam,0.001,56.3194643613436,,,,,
3,"4,3,0.0005",adam,0.0005,56.3274402731257,,,,,
2,6-4,adam,0.0015,56.3314601420461,52.498561291516,constant,True,0.0005,
3,"4,2,0.0005",adam,0.0005,56.3348802413194,,,,,
2,7-3,adam,0.0018,56.3350374622545,53.5920474241172,invscaling,True,0.0005,
2,6-3,adam,0.002,56.3415833580608,54.0603242029657,constant,True,0.0005,
3,6-3-2,lbfgs,0.0017,56.3420267630824,45.9756880580121,constant,False,,
3,5-3-2,sgd,0.001,56.343316845893,,,,,
4,"3,2,10,0.001",adam,0.001,56.345348435577,,,,,
4,"3,3,10,0.0005",adam,0.0005,56.3455890370672,,,,,
4,"3,10,10,0.004",adam,0.004,56.3484797043383,,,,,
2,7-4,adam,0.0017,56.3684358379927,51.687843361382,constant,True,0.001,
3,6-3-2,adam,0.001,56.3744362486268,,,,,
3,"4,2,0.002",adam,0.002,56.3773356317506,,,,,
3,5-3-2,lbfgs,0.001,56.3791780775927,,,,,
3,7-3-1,adam,0.0018,56.3851921554598,50.9220373584958,invscaling,True,0.002,
2,7-2,lbfgs,0.002,56.3900810737876,45.670461335768,invscaling,True,0.002,
4,"3,3,20,0.0005",adam,0.0005,56.3974502588615,,,,,
4,"3,10,10,0.001",adam,0.001,56.3982746562376,,,,,
3,6-3-2,adam,0.0015,56.399775857505,,,,,
4,"6,10,20,0.001",adam,0.001,56.4050264572702,,,,,
3,6-3-2,adam,0.0017,56.407028584982,48.8845720164686,adaptive,False,,
4,"6,10,10,0.004",adam,0.004,56.4084082664194,,,,,
3,7-3-1,adam,0.0018,56.4104837281597,49.7537011500922,invscaling,False,0.001,
2,6-3,lbfgs,0.002,56.4123010806792,48.1294405800162,constant,False,,
3,7-4-1,adam,0.0018,56.4128801922544,48.8136079509452,constant,False,0.002,
2,7-4,lbfgs,0.002,56.4145172091185,43.102549398034,invscaling,True,,
3,"4,3,0.0005",adam,0.0005,56.4171797930955,,,,,
3,6-2-1,adam,0.0017,56.4267137316449,49.8528177862581,constant,False,0.0005,
2,6-2,adam,0.0018,56.4303435950172,49.1759131414513,constant,False,0.0005,
3,"6,3,0.002",adam,0.002,56.4350741679784,,,,,
4,"4,2,10,0.0005",adam,0.0005,56.4366845379835,,,,,
4,"5,2,20,0.001",sgd,0.001,56.4429227650004,,,,,
3,6-3-1,adam,0.002,56.4447681233447,49.1568289872471,invscaling,False,0.0005,
3,6-4-1,adam,0.002,56.4490820511262,49.2215339507781,invscaling,False,0.002,
4,"4,3,10,0.0005",sgd,0.0005,56.4527880570274,,,,,
4,"4,10,20,0.002",sgd,0.002,56.4571790282997,,,,,
3,6-3-1,adam,0.0018,56.4574218760215,53.206427299844,constant,True,0.001,
3,"3,3,0.002",adam,0.002,56.4596733685655,,,,,
2,7-2,lbfgs,0.002,56.4721874735781,45.6476244793502,constant,True,0.0005,
3,"5,1,0.002",adam,0.002,56.4763558495261,,,,,
2,6-3,adam,0.0022,56.4832755353475,48.293369081607,constant,False,,
4,"6,10,10,0.004",adam,0.004,56.4847176682842,,,,,
